t,Fx_pressure_N,Fx_viscous_N
10,-3682.294,-84.83068
20,-1908.338,-88.35424
30,-735.1579,-93.59547
40,-597.8818,-103.8932
50,-470.7452,-111.9631
60,-383.4751,-120.8502
70,-358.6406,-130.6276
80,-326.3713,-140.0731
90,-293.6298,-150.4955
100,-270.1517,-161.8765
110,-250.5902,-174.1913
120,-238.4379,-187.4333
130,-227.3174,-201.5307
140,-217.0986,-216.1545
150,-221.4674,-228.0106
160,-218.6921,-239.5142
170,-219.5505,-250.5721
180,-220.2434,-259.7857
190,-221.0014,-265.1669
200,-224.3005,-268.0412
210,-225.1149,-268.6875
220,-231.4151,-268.1355
230,-237.6225,-266.9523
240,-241.1858,-265.811
250,-243.9503,-264.3441
260,-245.024,-262.4607
270,-246.9648,-260.4268
280,-249.0433,-258.3335
290,-247.6599,-256.4046
300,-251.4084,-254.5717
310,-254.0917,-252.6878
320,-256.2696,-250.7412
330,-258.0761,-248.7777
340,-259.7027,-246.7803
350,-262.6628,-244.9082
360,-264.0528,-243.2204
370,-265.5959,-241.6222
380,-266.3773,-240.1001
390,-267.0721,-238.604
400,-267.4329,-237.1522
410,-267.7083,-235.6647
420,-269.3033,-234.1765
430,-269.6797,-232.6886
440,-270.4551,-231.2075
450,-270.9361,-229.7349
460,-271.6314,-228.2734
470,-272.4057,-226.822
480,-273.4165,-225.3829
490,-274.2001,-223.9914
500,-274.7067,-222.5986
510,-275.4519,-221.5482
520,-276.8455,-220.53
530,-278.1425,-219.5846
540,-277.3472,-218.6686
550,-277.9035,-217.7824
560,-278.7284,-216.9612
570,-278.9831,-216.1561
580,-279.0431,-215.3495
590,-278.8569,-214.5343
600,-278.871,-213.7127
610,-279.1811,-212.9088
620,-279.4434,-212.1352
630,-279.8078,-211.3656
640,-279.8189,-210.6163
650,-280.0845,-209.8862
660,-279.7468,-209.1913
670,-279.5519,-208.5308
680,-279.0884,-207.8976
690,-278.7396,-207.2828
700,-278.5712,-206.6889
710,-278.5795,-206.1249
720,-278.3964,-205.6489
730,-278.4133,-205.212
740,-277.7128,-204.7898
750,-279.2106,-204.4559
760,-278.8542,-204.1499
770,-278.9797,-203.8455
780,-279.0652,-203.5517
790,-279.1756,-203.2681
800,-278.7552,-203.0018
810,-279.8671,-202.7891
820,-279.8166,-202.6253
830,-279.4357,-202.4763
840,-279.0221,-202.3442
850,-278.8743,-202.2283
860,-278.4194,-202.1288
870,-278.0011,-202.0439
880,-277.6239,-201.9723
890,-277.265,-201.9127
900,-276.9116,-201.8644
910,-276.9679,-201.8262
920,-276.2622,-201.7976
930,-275.8309,-201.7773
940,-275.6025,-201.7652
950,-275.1631,-201.7605
960,-274.7518,-201.7621
970,-274.3992,-201.7693
980,-274.0708,-201.7809
990,-273.9609,-201.7972
1000,-274.1425,-201.8158
1010,-274.0598,-201.8372
1020,-273.8639,-201.8592
1030,-273.8346,-201.8812
1040,-273.7012,-201.9026
1050,-273.6629,-201.9228
1060,-273.5241,-201.9423
1070,-273.5442,-201.9606
1080,-274.0142,-201.9787
1090,-273.8057,-201.9933
1100,-273.8236,-202.0065
1110,-273.9497,-202.0188
1120,-274.404,-202.0313
1130,-274.4309,-202.0431
1140,-274.0568,-202.0529
1150,-273.9494,-202.0609
1160,-273.9541,-202.0671
1170,-273.5591,-202.0708
1180,-273.3317,-202.0711
1190,-272.9854,-202.0675
1200,-272.6588,-202.0614
1210,-272.7302,-202.0553
1220,-272.4866,-202.0458
1230,-273.5183,-202.0336
1240,-272.9718,-202.0195
1250,-272.8357,-202.0051
1260,-272.6981,-201.9902
1270,-272.728,-201.9754
1280,-273.4329,-201.9607
1290,-273.5114,-201.9464
1300,-273.4972,-201.9328
1310,-274.3726,-201.9197
1320,-273.8654,-201.9066
1330,-273.5891,-201.8935
1340,-273.3532,-201.8801
1350,-273.4012,-201.8664
1360,-273.5416,-201.8526
1370,-273.953,-201.8377
1380,-273.474,-201.8153
1390,-271.6771,-201.7707
1400,-271.2408,-201.7166
1410,-272.7895,-201.6696
1420,-271.8961,-201.6388
1430,-270.9375,-201.6039
1440,-270.8205,-201.5645
1450,-270.1848,-201.5211
1460,-269.525,-201.4727
1470,-268.7454,-201.4213
1480,-268.8363,-201.3691
1490,-269.0412,-201.3188
1500,-269.1811,-201.273
1510,-269.4826,-201.2357
1520,-269.0376,-201.1959
1530,-268.2993,-201.1578
1540,-267.8907,-201.1228
1550,-268.225,-201.0935
1560,-267.3712,-201.0637
1570,-266.9874,-201.0279
1580,-267.2774,-200.9972
1590,-267.0125,-200.9663
1600,-267.2768,-200.9355
1610,-265.6041,-200.9018
1620,-264.9704,-200.8655
1630,-264.4252,-200.8298
1640,-263.8353,-200.7968
1650,-263.3704,-200.7658
1660,-262.9053,-200.7397
1670,-262.7763,-200.7083
1680,-261.7705,-200.6741
1690,-261.3541,-200.6425
1700,-261.564,-200.6196
1710,-261.4844,-200.6111
1720,-260.5729,-200.5956
1730,-259.4007,-200.5687
1740,-259.2023,-200.5403
1750,-258.7851,-200.513
1760,-258.2315,-200.4859
1770,-257.5386,-200.4584
1780,-256.906,-200.4299
1790,-256.2589,-200.4022
1800,-258.5182,-200.4021
1810,-257.9696,-200.4127
1820,-257.345,-200.423
1830,-256.6432,-200.4315
1840,-256.0645,-200.4384
1850,-255.6279,-200.444
1860,-255.094,-200.4484
1870,-254.7825,-200.4521
1880,-254.3675,-200.455
1890,-254.008,-200.4573
1900,-253.6494,-200.4584
1910,-253.0786,-200.4565
1920,-252.5069,-200.4517
1930,-251.9652,-200.444
1940,-251.3184,-200.4337
1950,-250.7025,-200.4207
1960,-250.2485,-200.4056
1970,-249.4819,-200.3865
1980,-249.1782,-200.3606
1990,-248.7884,-200.3334
2000,-248.2978,-200.3052
