t,Fx_pressure_N,Fx_viscous_N
10,-55989.63,-180.3356
20,-60270.45,-198.0691
30,-57599.06,-206.4184
40,-37643.01,-214.0313
50,-25490.93,-222.966
60,-28191.36,-232.3835
70,-21546.9,-239.4829
80,-16808.32,-247.1995
90,-13979.9,-256.0091
100,-11412.74,-264.4042
110,-9670.995,-272.7347
120,-8450.668,-281.2163
130,-8391.449,-289.6679
140,-7040.753,-298.3025
150,-6487.839,-307.9885
160,-5702.366,-317.85
170,-5015.315,-328.4981
180,-4717.83,-339.1001
190,-4815.199,-348.6268
200,-4833.028,-357.8107
210,-5497.757,-366.3005
220,-4379.862,-376.1069
230,-4055.843,-386.5535
240,-4525.996,-397.4354
250,-3347.518,-407.7068
260,-3471.078,-417.9026
270,-3561.624,-426.777
280,-3477.07,-434.5478
290,-3719.514,-441.3039
300,-3838.729,-448.3941
310,-3524.94,-454.776
320,-3503.248,-460.7076
330,-3497.567,-466.3743
340,-4230.948,-471.7202
350,-3532.585,-476.2248
360,-3552.511,-481.0706
370,-3346.119,-485.5112
380,-3532.476,-489.0729
390,-3468.436,-493.1924
400,-3619.828,-495.7705
410,-3710.236,-498.6476
420,-3599.054,-501.1746
430,-3572.552,-503.5202
440,-3599.685,-505.4903
450,-3586.264,-507.6826
460,-3614.935,-509.1519
470,-3555.074,-510.4527
480,-3678.634,-511.9523
490,-3725.791,-513.1287
500,-3714.735,-513.8641
510,-3652.164,-514.7028
520,-3760.915,-515.2578
530,-3796.664,-515.617
540,-3951.891,-515.9041
550,-4006.393,-516.0441
560,-3970.363,-516.1806
570,-3981.912,-516.1802
580,-3991.23,-516.1336
590,-3941.535,-516.0657
600,-3969.916,-515.8999
610,-3966.15,-515.6449
620,-3845.282,-515.337
630,-3988.462,-514.8981
640,-3971.596,-514.2934
650,-4005.457,-513.6919
660,-4101.182,-513.0478
670,-4006.057,-512.2436
680,-4095.751,-511.572
690,-4117.585,-510.7638
700,-4158.075,-509.8313
710,-4209.003,-508.9534
720,-4222.964,-507.9194
730,-4150.603,-507.0115
740,-4268.323,-506.228
750,-4251.242,-505.1785
760,-4257.12,-504.1153
770,-4349.913,-503.1759
780,-4301.303,-502.0412
790,-4349.246,-500.8733
800,-4458.499,-499.8433
810,-4462.776,-498.6735
820,-4349.967,-497.4815
830,-4377.433,-496.4487
840,-4450.934,-495.3802
850,-4565.372,-494.0836
860,-4517.72,-493.0464
870,-4611.08,-492.0724
880,-4650.555,-490.7799
890,-4495.073,-489.6649
900,-4712.433,-488.5879
910,-4632.701,-487.6916
920,-4706.476,-486.5628
930,-4558.232,-485.5899
940,-4747.148,-484.5233
950,-4722.389,-483.2641
960,-4684.17,-482.1368
970,-4753.268,-480.9583
980,-4779.798,-479.7125
990,-4817.788,-478.5045
1000,-4827.03,-477.3823
1010,-4920.363,-476.1876
1020,-4915.598,-475.1495
1030,-4911.031,-474.0552
1040,-4956.899,-472.9668
1050,-4897.53,-471.6989
1060,-4990.581,-470.6094
1070,-4984.755,-469.4763
1080,-4989.912,-468.3561
1090,-5020.814,-467.3668
1100,-5036.874,-466.323
1110,-5077.814,-465.3613
1120,-5038.414,-464.3502
1130,-5159.717,-463.4588
1140,-5161.361,-462.5443
1150,-5210.038,-461.4933
1160,-5199.259,-460.5298
1170,-5214.776,-459.6374
