t,Fx_pressure_N,Fx_viscous_N
10,-26552.35,-407.1875
20,-31624.81,-516.4418
30,-17054.96,-554.6868
40,-13462.92,-595.8252
50,-12134.87,-638.2253
60,-7675.671,-684.9948
70,-6851.946,-728.869
80,-5957.766,-768.154
90,-5193.555,-807.9789
100,-6345.686,-833.319
110,-5427.814,-857.4108
120,-5027.108,-882.2141
130,-4891.644,-903.6446
140,-4512.125,-924.6847
150,-4409.535,-943.5242
160,-4349.721,-961.0462
170,-4136.062,-977.1737
180,-4213.582,-992.1364
190,-4015.371,-1005.848
200,-4066.694,-1017.678
210,-4238.863,-1026.847
220,-4293.376,-1032.96
230,-4430.258,-1037.754
240,-4461.936,-1041.029
250,-4497.676,-1043.318
260,-4558.678,-1044.264
270,-4505.324,-1044.305
280,-4516.689,-1043.476
290,-4509.472,-1041.87
300,-4604.938,-1039.866
310,-4963.779,-1037.47
320,-4908.8,-1034.874
330,-4748.708,-1031.641
340,-5036.083,-1028.111
350,-4894.193,-1024.219
360,-5025.483,-1019.48
370,-4959.324,-1014.236
380,-4941.892,-1009.44
390,-5049.885,-1004.123
400,-5232.05,-999.2985
410,-5020.617,-994.5344
420,-5290.275,-989.2628
430,-5197.407,-983.92
440,-5131.041,-980.025
450,-5291.076,-975.9318
460,-5350.057,-971.7181
470,-5407.664,-967.4881
480,-5451.712,-963.1922
490,-5512.749,-958.5304
500,-5594.847,-953.7631
510,-5654.732,-949.264
520,-5678.584,-944.5734
530,-5822.568,-939.8245
540,-5844.456,-935.0518
550,-5911.768,-930.3258
560,-5933.614,-925.5636
570,-6024.068,-920.4339
580,-5992.349,-915.2973
590,-6164.607,-910.6589
600,-6259.277,-905.3797
610,-6161.524,-900.5197
620,-6163.898,-895.9469
630,-6527.424,-890.9897
640,-6484.294,-886.6311
650,-6616.592,-881.612
660,-6310.653,-877.3879
670,-6689.732,-872.8575
680,-6403.604,-868.7718
690,-6506.247,-864.8937
700,-6981.531,-861.2408
710,-6919.606,-857.4864
720,-7006.534,-854.2662
730,-7021.868,-850.8672
740,-7079.825,-847.6102
750,-7208.087,-844.7805
760,-7096.65,-841.7398
770,-7318.689,-838.7038
780,-7188.925,-835.6549
790,-7442.564,-832.7828
800,-7497.889,-829.8524
810,-7530.683,-827.107
820,-7514.765,-824.5712
830,-7497.887,-821.9644
840,-7686.282,-818.989
850,-7493.366,-816.3276
860,-7750.469,-814.208
870,-7808.015,-812.1426
880,-7878.034,-809.9759
890,-7552.676,-808.0484
900,-8008.504,-805.9252
910,-8066.287,-804.015
920,-7889.501,-802.2468
930,-8208.294,-800.5346
940,-8225.328,-799.0897
950,-8230.495,-797.7394
960,-8078.885,-796.4434
970,-8255.511,-795.2206
980,-8172.939,-794.1044
990,-8389.954,-793.074
1000,-8356.248,-792.0344
1010,-8465.079,-791.1427
1020,-8600.229,-790.3537
1030,-8575.124,-789.6701
1040,-8626.491,-788.9902
1050,-8426.942,-788.4236
1060,-8732.682,-787.9076
1070,-8793.485,-787.4292
1080,-8773.871,-786.9605
1090,-8637.656,-786.6581
1100,-8885.109,-786.3512
1110,-8927.789,-786.1305
1120,-8976.56,-785.8932
1130,-9006.473,-785.7375
1140,-9024.769,-785.6386
1150,-9098.21,-785.5724
1160,-9181.282,-785.5048
1170,-9064.486,-785.4501
1180,-9224.225,-785.4749
1190,-9248.741,-785.5257
1200,-9276.802,-785.6024
1210,-9384.471,-785.685
1220,-9247.256,-785.7288
1230,-9363.831,-785.8293
1240,-9360.048,-785.9728
1250,-9391.926,-786.1265
1260,-9441.711,-786.2956
1270,-9605.273,-786.4227
1280,-9614.754,-786.5494
1290,-9515.011,-786.6655
1300,-9602.146,-786.788
1310,-9662.217,-786.9108
1320,-9669.257,-787.0335
1330,-9711.349,-787.1578
1340,-9853.405,-787.282
1350,-9885.295,-787.4068
1360,-9938.985,-787.5355
1370,-9725.276,-787.679
1380,-9796.043,-787.8037
1390,-10001.49,-787.8842
1400,-9969.042,-787.9608
1410,-9960.373,-788.039
1420,-9980.202,-788.1327
1430,-9988.514,-788.2386
1440,-10001.02,-788.3432
1450,-10007.25,-788.4412
1460,-10017.51,-788.5439
1470,-10081.41,-788.5895
1480,-10090.66,-788.6229
1490,-10117.67,-788.6576
1500,-10185.43,-788.6946
1510,-10303.84,-788.736
1520,-10361.46,-788.7706
1530,-10353.48,-788.7874
1540,-10430.05,-788.8072
1550,-10507.99,-788.8212
1560,-10384.27,-788.8104
1570,-10398.62,-788.8263
1580,-10435.04,-788.8593
1590,-10573.83,-788.8839
1600,-10626.15,-788.8536
1610,-10637.95,-788.8015
1620,-10688.48,-788.7775
1630,-10750.4,-788.7459
1640,-10620.9,-788.7094
1650,-10651,-788.6437
1660,-10683.69,-788.5604
1670,-10706.35,-788.4745
1680,-10759.77,-788.3883
1690,-10775.91,-788.3133
1700,-10773.32,-788.3276
1710,-10788.85,-788.3389
1720,-10837.31,-788.3419
1730,-10875.59,-788.3369
1740,-10912.58,-788.3242
1750,-10947.32,-788.3042
1760,-10929.99,-788.2822
1770,-10970.89,-788.2703
1780,-10961.69,-788.2626
1790,-10989.47,-788.2487
1800,-11012.33,-788.2367
1810,-11032.98,-788.2201
1820,-11055.1,-788.202
1830,-11075.63,-788.1827
1840,-11093.15,-788.1619
1850,-11112.37,-788.1389
1860,-11137.4,-788.1176
1870,-11152.92,-788.0953
1880,-11096.26,-788.0667
1890,-11088.27,-788.0456
1900,-11088.71,-788.0264
1910,-11092.5,-788.0176
1920,-11143.33,-788.0153
1930,-11151.26,-788.0007
1940,-11195.1,-787.9935
1950,-11208.52,-787.9796
1960,-11196.4,-787.9539
1970,-11248.23,-787.9318
1980,-11236.42,-787.907
1990,-11259.67,-787.8834
2000,-11270.24,-787.8762
