t,Fx_pressure_N,Fx_viscous_N
10,-4651.018,-107.7129
20,-2945.49,-131.2089
30,-2579.801,-144.8232
40,-2262.988,-155.9628
50,-2022.692,-165.548
60,-1762.225,-174.1488
70,-1165.779,-184.5137
80,-981.1701,-201.1862
90,-930.8887,-216.492
100,-780.0636,-231.3545
110,-823.969,-248.8799
120,-734.8113,-263.6716
130,-713.0548,-281.4593
140,-703.1598,-299.1678
150,-714.3608,-314.2507
160,-740.1495,-325.2921
170,-753.4809,-333.622
180,-755.708,-340.2533
190,-748.3918,-346.3689
200,-744.2109,-351.7651
210,-733.2857,-356.4785
220,-726.0471,-360.52
230,-718.7167,-364.041
240,-712.727,-367.0171
250,-708.0432,-369.4677
260,-712.7218,-371.4762
270,-709.5474,-373.1363
280,-705.0859,-374.4833
290,-702.2876,-375.5415
300,-699.3207,-376.3391
310,-694.942,-376.8993
320,-700.6983,-377.2492
330,-687.0895,-377.4185
340,-651.3034,-377.4117
350,-653.3194,-377.1406
360,-658.3979,-376.5963
370,-662.4045,-375.7212
380,-665.3628,-374.6364
390,-663.0412,-373.3872
400,-651.5203,-371.6716
410,-660.8044,-370.0101
420,-663.7535,-368.2388
430,-669.2352,-366.3424
440,-674.1216,-364.3316
450,-675.3917,-362.2806
460,-678.5255,-360.1925
470,-679.3714,-358.0696
480,-679.8745,-355.9985
490,-681.2645,-354
500,-684.4026,-351.9852
510,-686.9073,-349.9892
520,-687.6806,-348.0356
530,-687.5931,-346.1124
540,-687.0337,-344.2195
550,-684.8077,-342.3275
560,-683.2276,-340.4222
570,-680.9505,-338.5136
580,-682.6391,-336.6161
590,-684.3676,-334.7172
600,-684.5667,-332.8456
610,-687.8026,-331.0258
620,-688.5932,-329.2695
630,-689.58,-327.5677
640,-696.7974,-325.8826
650,-695.4203,-324.2456
660,-693.2889,-322.6669
670,-684.4916,-320.8577
680,-685.9394,-318.7011
690,-691.0622,-316.6871
700,-694.9665,-314.7818
710,-697.9643,-312.9257
720,-697.6175,-311.0244
730,-702.2869,-309.1229
740,-705.2057,-307.292
750,-707.8591,-305.5285
760,-710.738,-303.8288
770,-711.9173,-302.1903
780,-710.7976,-300.6016
790,-714.0454,-299.0627
800,-714.8873,-297.6091
810,-714.3414,-296.2983
820,-716.1555,-295.0167
830,-717.2406,-293.7776
840,-718.9214,-292.5809
850,-720.0845,-291.4267
860,-721.0348,-290.3149
870,-720.1285,-289.2069
880,-721.5016,-288.1278
890,-722.9028,-287.0844
900,-724.681,-286.0779
910,-726.4012,-285.107
920,-728.1799,-284.1704
930,-729.7661,-283.2659
940,-729.3386,-282.35
950,-732.2327,-281.4582
960,-734.9678,-280.5976
970,-736.1254,-279.7706
980,-738.2244,-278.975
990,-740.0443,-278.2092
1000,-740.844,-277.4744
1010,-742.3619,-276.7687
1020,-730.5391,-276.0108
1030,-713.4926,-274.9158
1040,-717.6463,-273.4974
1050,-723.2766,-272.1677
1060,-726.7644,-270.9377
1070,-732.8891,-269.8758
1080,-733.129,-268.8618
1090,-734.2587,-267.8961
1100,-734.7878,-266.9808
1110,-749.9789,-266.195
1120,-744.7817,-265.5125
1130,-746.5301,-264.899
1140,-745.0808,-264.3146
1150,-742.3195,-263.7291
1160,-746.0005,-263.1775
1170,-748.7533,-262.7372
1180,-749.4187,-262.3159
1190,-749.447,-261.923
1200,-749.9716,-261.5484
1210,-753.6632,-261.2011
1220,-753.1794,-260.8789
1230,-753.4333,-260.589
