t,Fx_pressure_N,Fx_viscous_N
10,-999.6058,-90.28775
20,-386.5436,-123.5589
30,-300.1322,-156.5667
40,-621.6999,-165.2092
50,-494.714,-172.323
60,-416.2352,-179.6249
70,-343.5282,-187.3695
80,-294.9177,-196.3255
90,-249.4289,-207.2916
100,-232.2187,-220.6187
110,-222.9035,-233.8496
120,-380.6838,-240.8744
130,-373.4127,-242.5211
140,-359.7311,-244.0433
150,-346.271,-245.4834
160,-334.3161,-246.8567
170,-322.996,-248.1696
180,-313.153,-249.4252
190,-304.4694,-250.6248
200,-296.9364,-251.7689
210,-290.3888,-252.8576
220,-284.6934,-253.8933
230,-279.9161,-254.8741
240,-274.1133,-255.799
250,-255.5505,-256.8013
260,-236.9918,-258.2123
270,-253.395,-259.6552
280,-260.9208,-260.4668
290,-262.3784,-261.1649
300,-256.3058,-261.7035
310,-262.0115,-261.9962
320,-265.6045,-262.1526
330,-266.4772,-262.2527
340,-266.6758,-262.2981
350,-266.5479,-262.288
360,-266.5756,-262.2215
370,-266.8355,-262.0973
380,-266.8474,-261.9147
390,-267.1312,-261.6729
400,-267.2188,-261.3684
410,-267.4848,-260.9955
420,-268.5123,-260.5613
430,-269.5164,-260.0715
440,-270.4013,-259.5306
450,-271.4088,-258.943
460,-272.6556,-258.3129
470,-273.7812,-257.644
480,-275.0596,-256.9406
490,-276.3486,-256.2073
500,-277.736,-255.4487
510,-278.9739,-254.6691
520,-280.3727,-253.8719
530,-281.8292,-253.059
540,-283.2374,-252.2315
550,-284.8263,-251.3903
560,-286.4667,-250.5362
570,-287.8364,-249.6696
580,-289.4143,-248.7897
590,-291.0751,-247.9033
600,-292.5904,-247.0143
610,-294.2851,-246.123
620,-296.0863,-245.229
630,-297.688,-244.3338
640,-299.5956,-243.448
650,-301.2095,-242.5731
660,-303.1101,-241.6881
670,-304.3834,-240.7596
680,-306.6127,-239.8714
690,-308.332,-238.9856
700,-309.8876,-238.0936
710,-311.213,-237.1967
720,-312.9284,-236.2938
730,-314.4432,-235.3842
740,-315.8424,-234.4703
750,-317.5583,-233.5324
760,-318.8734,-232.5443
770,-320.5289,-231.4959
780,-321.9807,-230.4243
790,-323.2008,-229.3382
800,-324.3405,-228.2284
810,-325.7239,-227.0351
820,-327.1658,-225.7425
830,-328.2296,-224.3947
840,-330.1804,-222.995
850,-331.7493,-221.6565
860,-328.5155,-220.6909
870,-332.5266,-219.7928
880,-334.7766,-218.8844
890,-336.1494,-217.9699
900,-337.4325,-217.0438
910,-338.5282,-216.094
920,-339.1818,-215.1124
930,-340.1773,-214.0918
940,-340.8986,-213.0256
950,-341.7102,-211.887
960,-342.0145,-210.6838
970,-343.3619,-209.4085
980,-343.9676,-208.0622
990,-345.1016,-206.8291
1000,-345.5893,-205.8363
