t,Fx_pressure_N,Fx_viscous_N
10,-165730.1,-257.4884
20,-143583.9,-283.0261
30,-93403.93,-298.3116
40,-61080.53,-316.3276
50,-63564.44,-336.9186
60,-62523.43,-350.387
70,-36177.71,-365.8607
80,-27927.24,-382.8517
90,-37650.38,-396.2627
100,-26727.97,-407.9024
110,-25687.09,-419.8872
120,-22948,-431.8187
130,-21913.16,-443.5383
140,-19981.06,-455.75
150,-20434.02,-468.2399
160,-28754.55,-479.2492
170,-15828.44,-492.1822
180,-15891.92,-504.0879
190,-14699.22,-515.5786
200,-16918.1,-526.3655
210,-14005.27,-536.459
220,-12872.62,-546.1874
230,-13466.38,-554.656
240,-18455.8,-561.7269
250,-12847.34,-569.6003
260,-12050.95,-576.3864
270,-12452.29,-583.6543
280,-10709.86,-592.042
290,-17518.72,-598.0577
300,-12300.58,-605.4307
310,-12435.81,-610.9554
320,-15833.75,-614.6627
330,-11608.62,-619.2763
340,-12586.06,-622.5636
350,-12887.05,-625.3688
360,-12251.6,-628.9179
370,-11766.11,-631.2238
380,-15054.69,-632.7977
390,-13255.3,-635.0128
400,-14774.62,-636.5215
410,-14674.08,-637.4678
420,-12476.37,-638.5825
430,-12987.61,-639.3023
440,-14997.14,-639.7487
450,-11192.38,-640.2162
460,-12008.4,-640.385
470,-11986.55,-640.3804
480,-12067.98,-640.2496
490,-16733.68,-639.9303
500,-12470.04,-639.5702
510,-14062.17,-639.0746
520,-15326.78,-638.4331
530,-13837.24,-637.7762
540,-13671.3,-636.9256
550,-15239.89,-636.0175
560,-12900.65,-635.0873
570,-14690.68,-633.8242
580,-12941.45,-632.7237
590,-12958.63,-631.4859
600,-15746.63,-630.1737
610,-13791.77,-628.8771
620,-14107.93,-627.4303
630,-14028.69,-626.04
640,-13534.46,-624.5141
650,-13894.33,-623.0392
660,-16964.12,-621.7809
670,-14785.12,-620.2447
680,-15835.88,-618.8324
690,-15362.04,-617.5484
700,-14031.5,-616.1424
710,-14613.64,-614.7695
720,-17195.87,-613.2571
730,-16763.82,-611.936
740,-12661.59,-610.5276
750,-12569.96,-608.8229
760,-14484.47,-607.4737
770,-14201.05,-606.1404
780,-14636.78,-604.8318
790,-15999.84,-603.6681
800,-16570.84,-602.5693
810,-14689.2,-601.0834
820,-13691.51,-599.4263
830,-15455.01,-597.9462
840,-15955.81,-596.5087
850,-14398.07,-595.266
860,-14944.36,-594.0777
870,-14199.78,-592.9232
880,-16052.58,-591.8973
890,-13720.58,-590.4534
900,-16037.93,-589.0818
910,-16161.67,-587.9484
920,-15091.43,-586.4942
930,-16109.44,-585.3072
940,-16194.1,-584.11
950,-15069.17,-582.7656
960,-14614.51,-581.4297
970,-14701.92,-580.1867
980,-14965.8,-578.994
990,-15783.01,-577.6934
1000,-15920.97,-576.5056
1010,-15977.81,-575.4288
1020,-16433.38,-574.495
1030,-16622.26,-573.6028
1040,-16853.61,-572.7395
