t,Fx_pressure_N,Fx_viscous_N
10,-49586.5,-284.2548
20,-17381.67,-329.6514
30,-14329.27,-380.5113
40,-14954.81,-416.0758
50,-12893.52,-454.0837
60,-11223.33,-489.8737
70,-8036.529,-529.4598
80,-6460.934,-562.7942
90,-6113.585,-593.2579
100,-5941.558,-621.9659
110,-5926.837,-642.1144
120,-5359.093,-662.0854
130,-4986.856,-681.7997
140,-4404.746,-706.0782
150,-4475.639,-725.7909
160,-4403.128,-743.4126
170,-4172.955,-760.526
180,-3876.211,-779.7641
190,-3817.464,-798.7276
200,-3860.773,-814.8089
210,-4081.939,-831.0026
220,-3665.779,-845.1141
230,-3440.297,-858.7899
240,-3378.56,-873.2937
250,-3613.054,-885.0066
260,-3870.475,-894.4322
270,-3683.112,-902.1217
280,-3667.413,-908.0982
290,-3873.464,-912.4067
300,-3640.575,-916.0601
310,-3843.887,-918.5959
320,-3726.482,-920.3709
330,-3824.378,-921.0432
340,-3773.593,-921.0181
350,-3826.041,-920.4248
360,-3896.291,-919.3943
370,-3842.262,-917.6766
380,-3844.593,-915.3964
390,-3895.105,-912.6767
400,-3844.121,-908.9466
410,-4109.176,-905.53
420,-3938.91,-901.6263
430,-4063.998,-896.8685
440,-4061.507,-891.9562
450,-4123.791,-887.4679
460,-4159.595,-882.3506
470,-4189.871,-877.2499
480,-4197.817,-872.5279
490,-4276.732,-868.4183
500,-4256.464,-863.74
510,-4324.01,-859.101
520,-4320.438,-854.4968
530,-4329.746,-849.3708
540,-4372.028,-843.99
550,-4386.529,-839.1401
560,-4422.374,-834.1268
570,-4398.934,-828.1028
580,-4517.338,-822.9783
590,-4476.165,-816.9534
600,-4607.922,-811.7737
610,-4674.713,-805.7668
620,-4636.533,-800.3331
630,-4705.296,-795.0339
640,-4789.09,-790.2081
650,-4790.325,-785.1013
660,-4836.149,-779.7346
670,-4867.429,-775.3091
680,-4914.468,-771.0915
690,-4951.756,-765.5782
700,-4958.071,-761.0704
710,-5004.726,-757.3524
720,-5028.433,-752.8895
730,-5072.866,-747.9191
740,-5093.869,-743.9046
750,-5113.125,-740.207
760,-5154.574,-736.2575
770,-5149.624,-732.5339
780,-5194.962,-728.9367
790,-5212.018,-725.0768
800,-5196.274,-721.4711
810,-5290.679,-718.531
820,-5273.267,-715.8524
830,-5413.649,-713.3788
840,-5414.172,-711.3464
850,-5438.89,-709.4319
860,-5420.053,-707.56
870,-5422.071,-705.6779
880,-5399.661,-703.7516
890,-5368.453,-701.8069
900,-5397.933,-699.7579
910,-5418.469,-697.6723
920,-5474.527,-695.658
930,-5500.533,-693.8882
940,-5516.159,-692.3164
950,-5527.986,-690.822
960,-5520.69,-689.2255
970,-5508.528,-687.3788
980,-5556.765,-685.8061
990,-5569.371,-684.3292
1000,-5600.873,-682.9093
1010,-5614.925,-681.5059
1020,-5594.529,-679.9419
1030,-5662.666,-678.393
1040,-5676.276,-676.8579
1050,-5678.298,-675.324
1060,-5719.18,-673.8922
1070,-5745.602,-672.5335
1080,-5695.773,-670.9663
1090,-5746.649,-669.2841
1100,-5861.811,-667.8518
1110,-5919.748,-666.908
1120,-5907.602,-666.0207
1130,-5890.732,-664.8205
1140,-5935.016,-663.5033
1150,-5877.154,-662.1398
1160,-5931.56,-660.6277
1170,-5992.114,-659.5042
1180,-5961.876,-658.4693
1190,-5942.633,-657.3587
1200,-5976.336,-656.242
1210,-6013.936,-655.1664
1220,-6019.689,-654.1072
1230,-6031.542,-652.9106
1240,-6064.179,-651.7103
1250,-6156.913,-650.7927
1260,-6201.048,-650.1328
1270,-6159.231,-649.4924
1280,-6135.238,-648.7921
1290,-6127.193,-647.8882
1300,-6183.545,-646.9164
1310,-6279.65,-646.2181
1320,-6295.819,-645.6592
1330,-6310.768,-645.1721
1340,-6325.813,-644.722
1350,-6343.328,-644.2885
1360,-6310.974,-643.8544
1370,-6279.786,-643.4
1380,-6336.694,-642.971
1390,-6389.516,-642.6106
1400,-6420.768,-642.313
1410,-6447.721,-642.0514
1420,-6470.413,-641.8149
1430,-6471.567,-641.6058
1440,-6451.651,-641.4065
1450,-6411.136,-641.2637
1460,-6439.063,-641.1495
1470,-6457.142,-641.0632
1480,-6478.024,-640.9976
1490,-6494.27,-640.9476
1500,-6524.269,-640.9078
1510,-6532.397,-640.8752
1520,-6535.43,-640.8408
1530,-6566.811,-640.8271
1540,-6572.959,-640.8435
1550,-6592.312,-640.8882
1560,-6604.329,-640.9545
1570,-6613.895,-641.0284
1580,-6606.4,-641.1204
1590,-6662.325,-641.2528
1600,-6688.47,-641.4311
1610,-6652.632,-641.6116
1620,-6677.819,-641.8021
1630,-6695.893,-641.9938
1640,-6715.773,-642.2023
1650,-6832.484,-642.3594
1660,-6850.399,-642.5246
1670,-6867.536,-642.6855
1680,-6881.419,-642.8498
1690,-6780.969,-643.0104
1700,-6778.533,-643.1645
1710,-6814.078,-643.3219
1720,-6831.065,-643.4804
1730,-6844.898,-643.6449
1740,-6860.469,-643.8124
1750,-6898.873,-643.9819
1760,-6890.499,-644.1545
1770,-6882.371,-644.3362
1780,-6899.545,-644.5172
1790,-6908.653,-644.6996
1800,-6904.534,-644.88
1810,-6909.342,-645.0539
1820,-6912.806,-645.2255
1830,-6921.085,-645.3915
1840,-6926.606,-645.5491
1850,-6922.706,-645.707
1860,-6916.231,-645.8652
1870,-6920.787,-646.0156
1880,-6973.673,-646.1631
1890,-6978.023,-646.315
1900,-7006.478,-646.4583
1910,-7017.847,-646.5944
1920,-7052.664,-646.7351
1930,-7054.176,-646.875
1940,-7048.46,-647.0041
1950,-7071.51,-647.1286
1960,-7080.922,-647.2416
1970,-7074.604,-647.3478
1980,-7070.335,-647.45
1990,-7072.198,-647.5392
2000,-7070.927,-647.6195
