t,Fx_pressure_N,Fx_viscous_N
10,-71908.57,-145.1673
20,-22900.6,-157.9449
30,-13762.2,-171.7039
40,-14695.29,-186.2794
50,-7963.548,-199.3733
60,-7999.081,-211.5331
70,-5052.452,-225.0595
80,-2987.276,-241.5144
90,-2799.28,-258.1494
100,-2410.105,-274.1665
110,-2122.412,-292.8243
120,-1986.675,-313.4566
130,-2749.506,-327.7125
140,-2745.163,-340.1923
150,-2597.722,-352.6975
160,-2462.032,-365.0925
170,-2532.01,-377.1288
180,-2649.072,-387.4917
190,-2692.382,-397.5199
200,-2694.646,-406.1447
210,-2807.155,-414.2723
220,-2706.637,-421.8315
230,-2647.34,-431.1164
240,-2616.339,-442.0992
250,-2456.299,-453.4478
260,-2529.073,-462.8524
270,-2635.587,-472.79
280,-2633.979,-482.1664
290,-2643.892,-491.3751
300,-2669.617,-499.2772
310,-2577.93,-506.331
320,-2599.741,-512.9825
330,-2624.846,-518.4695
340,-2646.359,-523.6461
350,-2690.809,-528.7706
360,-2703.815,-533.7447
370,-2695.908,-538.2345
380,-2722.836,-542.7791
390,-2684.021,-546.7022
400,-2752.961,-550.6489
410,-2816.366,-553.9291
420,-2862.962,-557.1412
430,-2790.325,-560.1348
440,-2919.852,-562.4223
450,-2820.732,-564.6095
460,-2846.486,-566.5115
470,-2911.896,-568.0913
480,-2901.723,-569.4582
490,-2970.925,-570.5645
500,-2950.303,-571.5013
510,-2932.844,-572.3294
520,-3023.235,-572.979
530,-3015.975,-573.4553
540,-3036.318,-573.7964
550,-3073.381,-573.9795
560,-3078.389,-574.0104
570,-3106.571,-573.901
580,-3094.853,-573.5744
590,-3099.195,-573.1285
600,-3137.426,-572.616
610,-3202.612,-572.2556
620,-3194.994,-571.9463
630,-3264.632,-571.5411
640,-3212.252,-571.0076
650,-3194.399,-570.2825
660,-3250.844,-569.1039
670,-3317.115,-568.0605
680,-3322.262,-567.215
690,-3320.038,-566.3871
700,-3379.441,-565.5686
710,-3415.647,-564.7376
720,-3303.584,-563.8516
730,-3357.986,-562.883
740,-3455.286,-561.4663
750,-3424.402,-560.366
760,-3401.305,-559.2982
770,-3462.101,-558.1595
780,-3479.453,-556.8251
790,-3484.981,-555.6908
800,-3510.677,-554.6072
810,-3546.872,-553.5256
820,-3540.133,-552.4271
830,-3537.347,-551.3115
840,-3469.691,-550.1807
850,-3530.762,-548.6326
860,-3568.57,-547.0543
870,-3528.643,-545.3414
880,-3634.707,-543.5878
890,-3653.786,-541.8083
900,-3581.841,-540.3732
910,-3630.93,-538.9608
920,-3678.059,-537.5271
930,-3618.372,-536.0019
940,-3710.109,-534.3768
950,-3745.765,-532.5397
960,-3744.658,-530.4956
970,-3769.223,-528.5425
980,-3849.828,-526.9106
990,-3807.836,-525.571
1000,-3823.054,-524.2182
1010,-3827.777,-522.6314
1020,-3785.264,-520.9799
1030,-3857.047,-519.3782
1040,-3939.623,-517.8069
1050,-3885.751,-516.2062
1060,-3912.098,-514.7242
1070,-3906.982,-513.0748
1080,-3980.069,-511.4113
1090,-3951.258,-509.9157
1100,-4017.124,-508.441
1110,-3933.231,-506.9669
1120,-4034.729,-505.3282
1130,-4047.057,-503.878
1140,-4005.145,-502.4735
1150,-4042.471,-501.0098
1160,-4022.872,-499.2949
1170,-4071.477,-497.6383
1180,-4094.196,-496.0457
1190,-4112.012,-494.3721
1200,-4155.437,-492.8133
1210,-4105.847,-491.2236
1220,-4152.496,-489.7125
1230,-4128.885,-488.0303
1240,-4166.443,-486.3242
1250,-4171.534,-484.7521
1260,-4191.241,-483.1631
1270,-4228.715,-481.6808
1280,-4235.553,-480.2423
1290,-4246.622,-478.6152
1300,-4300.201,-476.9677
1310,-4291.091,-475.3545
1320,-4283.005,-473.9188
1330,-4305.557,-472.5221
1340,-4286.106,-471.151
1350,-4320.422,-469.7725
1360,-4432.826,-468.4549
1370,-4339.075,-467.1411
1380,-4400.24,-465.944
1390,-4379.553,-464.6642
1400,-4416.687,-463.3482
1410,-4412.852,-462.0369
1420,-4387.66,-460.7991
1430,-4363.085,-459.3551
1440,-4377.832,-458.0308
1450,-4404.922,-456.7802
1460,-4470.7,-455.5077
1470,-4525.004,-454.4868
1480,-4506.531,-453.5446
1490,-4622.394,-452.6908
1500,-4546.189,-451.9424
1510,-4632.489,-451.1701
1520,-4597.521,-450.3925
1530,-4577.255,-449.6649
1540,-4555.055,-448.9273
1550,-4573.104,-448.1725
1560,-4523.914,-447.395
1570,-4574.909,-446.3818
1580,-4596.417,-445.4311
1590,-4592.786,-444.5997
1600,-4588.829,-443.8221
1610,-4610.83,-443.0742
1620,-4634.623,-442.3333
1630,-4583.274,-441.5904
1640,-4601.446,-440.8619
1650,-4692.315,-440.1564
1660,-4709.187,-439.4053
1670,-4702.821,-438.6213
1680,-4684.883,-437.7529
1690,-4723.536,-436.8957
1700,-4722.885,-436.1077
1710,-4780.922,-435.3756
1720,-4765.17,-434.6651
1730,-4762.178,-433.9586
1740,-4754.984,-433.2722
1750,-4776.425,-432.5831
1760,-4740.24,-431.8917
1770,-4832.329,-431.1778
1780,-4764.95,-430.4266
1790,-4824.83,-429.6494
1800,-4844.747,-428.8538
1810,-4829.907,-428.0711
1820,-4874.034,-427.3555
1830,-4880.003,-426.6816
1840,-4923.415,-426.0218
1850,-4931.5,-425.381
1860,-4942.57,-424.7386
1870,-4937.842,-424.0477
1880,-4842.562,-423.2732
1890,-4934.299,-422.4655
1900,-4961.838,-421.8087
1910,-4998.312,-421.2065
1920,-4923.399,-420.6603
1930,-4987.505,-420.1445
1940,-4978.239,-419.644
1950,-5015.522,-419.1337
1960,-4983.105,-418.6152
1970,-5025.865,-418.0649
1980,-5055.7,-417.4592
1990,-5094.495,-417.0667
2000,-5006.747,-416.6596
