t,Fx_pressure_N,Fx_viscous_N
10,-57677.25,-88.61746
20,-117445.6,-91.46234
30,-24852.49,-96.83756
40,-32740.06,-101.1558
50,-27526.29,-104.5657
60,-25228.79,-108.4787
70,-13222.76,-113.0874
80,-11233.03,-117.8983
90,-9750.375,-122.697
100,-8402.527,-127.7846
110,-13296.86,-132.1408
120,-8611.158,-135.6203
130,-8219.235,-138.9685
140,-7338.453,-142.3433
150,-7283.788,-145.7026
160,-6140.922,-149.079
170,-5707.547,-152.6865
180,-5191.59,-156.4637
190,-4891.841,-160.3682
200,-4726.052,-164.3511
210,-4394.526,-168.3097
220,-4147.772,-172.4947
230,-3875.15,-176.7551
240,-4051.917,-180.7713
250,-3832.342,-184.932
260,-4374.167,-188.4421
270,-4197.194,-191.9971
280,-3515.807,-195.9273
290,-4403.406,-199.4172
300,-3683.395,-202.8085
310,-4172.453,-205.5282
320,-4464.876,-208.3904
330,-3770.916,-211.0432
340,-4265.931,-213.2914
350,-4991.34,-215.0395
360,-4876.962,-217.2223
370,-3616.792,-218.8319
380,-4639.45,-220.0996
390,-3821.045,-221.5134
400,-3675.91,-222.9845
410,-4179.185,-224.1674
420,-3654.002,-225.3475
430,-3770.919,-226.5541
440,-3817.183,-227.7147
450,-3612.699,-228.7721
460,-3744.605,-229.6983
470,-3747.633,-230.543
480,-3778.441,-231.2554
490,-3852.686,-231.8232
500,-3806.519,-232.3471
510,-4345.35,-232.7362
520,-4087.364,-233.1216
530,-3824.715,-233.4637
540,-4212.863,-233.6906
550,-3898.353,-233.9473
560,-3860.349,-234.1286
570,-4040.469,-234.2881
580,-4203.435,-234.4258
590,-3790.152,-234.5317
600,-3912.516,-234.5902
610,-4022.115,-234.6257
620,-3930.083,-234.6297
630,-4135.884,-234.605
640,-4520.313,-234.5592
650,-4413.746,-234.4922
660,-4369.784,-234.4162
670,-4110.884,-234.3194
680,-4198.316,-234.2253
690,-4151.887,-234.1144
700,-4421.069,-233.9805
710,-4634.423,-233.8226
720,-4642.495,-233.6874
730,-4111.437,-233.535
740,-4056.176,-233.3418
750,-4295.477,-233.1824
760,-4159.161,-233.0025
770,-4198.199,-232.7912
780,-4199.582,-232.6005
790,-4207.452,-232.419
800,-4667.298,-232.2278
810,-4333.868,-232.0491
820,-4283.098,-231.8746
830,-4538.536,-231.6626
840,-4364.039,-231.4467
850,-4357.39,-231.2335
860,-4662.592,-231.029
870,-4440.491,-230.7778
880,-4333.429,-230.528
890,-4699.084,-230.3033
900,-4806.688,-230.0741
910,-4577.222,-229.8687
920,-4344.813,-229.6399
930,-4510.368,-229.3472
940,-4477.04,-229.0921
950,-4695.897,-228.8675
960,-4754.135,-228.6571
970,-4777.73,-228.4673
980,-4796.179,-228.2801
990,-4792.496,-228.0981
1000,-4757.58,-227.9034
1010,-4625.164,-227.6734
1020,-4543.196,-227.4021
1030,-4664.123,-227.1476
1040,-4589.735,-226.9009
1050,-4606.692,-226.5844
1060,-4947.929,-226.3419
1070,-5018.845,-226.1205
1080,-4890.945,-225.8622
1090,-4723.449,-225.5757
1100,-4900.473,-225.3094
1110,-4898.548,-225.1021
1120,-4963.373,-224.9375
1130,-4959.949,-224.7614
1140,-4554.694,-224.4853
1150,-4799.976,-224.2107
1160,-4832.535,-223.9585
1170,-4752.322,-223.7176
1180,-4852.779,-223.4946
1190,-4746.252,-223.2251
1200,-4798.366,-223.0019
1210,-4813.996,-222.7751
1220,-4884.609,-222.554
1230,-4904.483,-222.3679
1240,-4946.705,-222.1817
1250,-4940.738,-221.9928
1260,-4945.077,-221.8031
1270,-4973.835,-221.6007
1280,-4960.283,-221.4191
1290,-4811.503,-221.2195
1300,-4812.23,-221.0238
1310,-4937.068,-220.8159
1320,-4857.79,-220.5845
1330,-4860.858,-220.3556
1340,-4932.222,-220.121
1350,-4939.551,-219.9009
1360,-4936.821,-219.6889
1370,-4931.867,-219.488
1380,-4964.534,-219.3019
1390,-4878.484,-219.0943
1400,-4946.746,-218.8714
1410,-5167.966,-218.647
1420,-4961.191,-218.4078
1430,-5203.297,-218.1747
1440,-5197.21,-217.9688
1450,-5077.484,-217.7664
1460,-5053.573,-217.5655
1470,-4980.265,-217.3939
1480,-5063.22,-217.1912
1490,-5061.298,-217.0158
1500,-4974.925,-216.831
1510,-4931.212,-216.6448
1520,-4817.346,-216.4464
1530,-5080.882,-216.2514
1540,-5217.483,-216.0666
1550,-5135.414,-215.8874
1560,-5211.461,-215.7157
1570,-5155.275,-215.5396
1580,-5117.546,-215.3752
1590,-5233.403,-215.2019
1600,-5065.464,-215.0237
1610,-5212.903,-214.8378
1620,-5197.764,-214.6455
1630,-5195.438,-214.4465
1640,-5254.15,-214.285
1650,-5223.979,-214.1176
1660,-5213.811,-213.9523
1670,-5229.843,-213.7846
1680,-5219.425,-213.6284
1690,-5220.361,-213.4774
1700,-5181.271,-213.3082
1710,-5278.361,-213.1507
1720,-5148.236,-212.9606
1730,-5242.166,-212.7902
1740,-5221.085,-212.6258
1750,-5225.321,-212.4708
1760,-5243.454,-212.304
1770,-5289.277,-212.1381
1780,-5258.33,-211.9598
1790,-5250.695,-211.7798
1800,-5393.953,-211.6058
1810,-5305.25,-211.439
1820,-5379.638,-211.2567
1830,-5253.76,-211.0684
1840,-5270.038,-210.9049
1850,-5232.067,-210.7303
1860,-5263.955,-210.5514
1870,-5261.936,-210.3776
1880,-5297.778,-210.2005
1890,-5397.068,-210.0203
1900,-5546.178,-209.8391
1910,-5360.519,-209.6523
1920,-5362.691,-209.5092
1930,-5461.811,-209.3643
1940,-5501.465,-209.2307
1950,-5520.303,-209.0986
1960,-5490.473,-208.9685
1970,-5488.194,-208.8419
1980,-5285.749,-208.6963
1990,-5659.642,-208.5414
2000,-5652.993,-208.3963
