t,Fx_pressure_N,Fx_viscous_N
10,-65914.81,-306.9312
20,-35109.48,-367.1279
30,-23829.84,-411.9028
40,-21945.92,-451.4769
50,-13424.22,-488.0012
60,-14651.31,-534.9356
70,-7706.139,-581.816
80,-9241.699,-619.0618
90,-7668,-654.5411
100,-6900.361,-691.1647
110,-5788.831,-731.8704
120,-5415.099,-774.2556
130,-5606.03,-812.3878
140,-5572.453,-846.679
150,-5175.313,-876.7247
160,-4916.91,-900.9511
170,-4541.789,-923.7434
180,-4731.274,-943.0675
190,-4852.134,-960.2144
200,-5412.807,-975.5303
210,-4971.309,-989.8867
220,-4675.538,-1002.128
230,-4746.966,-1013.424
240,-4870.607,-1022.294
250,-5886.667,-1029.693
260,-5136.883,-1037.644
270,-5064.35,-1043.227
280,-5015.966,-1048.712
290,-5086.914,-1051.752
300,-5494.448,-1054.23
310,-5150.915,-1056.146
320,-5055.497,-1056.611
330,-4793.78,-1056.608
340,-4624.463,-1055.817
350,-5198.831,-1054.719
360,-5183.122,-1052.868
370,-5117.159,-1050.073
380,-5132.135,-1047.569
390,-5081.953,-1044.427
400,-5065.292,-1039.795
410,-4927.652,-1036.247
420,-5345.461,-1031.53
430,-5039.019,-1026.801
440,-5375.674,-1022.467
450,-5482.215,-1016.398
460,-5457.9,-1011.89
470,-5633.91,-1007.445
480,-5423.927,-1003.486
490,-5481.031,-999.2107
500,-5384.13,-994.9491
510,-5658.666,-990.6593
520,-5739.778,-986.5928
530,-5776.379,-981.5653
540,-5741.566,-976.6805
550,-5773.95,-971.6807
560,-6075.644,-965.9655
570,-6200.406,-960.4034
580,-6013.27,-954.7837
590,-6219.256,-949.8394
600,-6364.407,-944.657
610,-6222.393,-938.1197
620,-6495.376,-932.363
630,-6434.811,-927.1899
640,-6630.679,-921.6889
650,-6669.958,-917.2481
660,-6548.976,-912.0512
670,-6541.274,-907.2428
680,-6700.787,-902.6359
690,-6543.041,-898.572
700,-6825.653,-894.3544
710,-6889.759,-890.2945
720,-6927.951,-885.4223
730,-6921.639,-881.267
740,-7183.066,-878.2481
750,-7252.08,-875.476
760,-7159.163,-872.7476
770,-7119.054,-869.7727
780,-7385.349,-865.567
790,-7365.16,-862.3403
800,-7490.524,-859.4353
810,-7382.486,-856.7078
820,-7558.148,-854.0339
830,-7572.577,-850.9046
840,-7527.803,-848.4973
850,-7560.912,-846.1887
860,-7596.565,-843.9447
870,-7553.83,-841.683
880,-7484.389,-839.4809
890,-7632.797,-836.4904
900,-7683.801,-833.9477
910,-7769.812,-832.1516
920,-7785.614,-830.3665
930,-7627.636,-828.6253
940,-7754.391,-826.8843
950,-7834.123,-825.1312
960,-7699.365,-823.3504
970,-7750.14,-821.5412
980,-7771.277,-819.2161
990,-7980.214,-817.1416
1000,-8047.843,-815.1769
1010,-8066.29,-813.3339
1020,-8029.591,-811.5216
1030,-8000.503,-809.7289
1040,-8070.597,-807.9921
1050,-7954.319,-806.1899
1060,-8151.449,-804.2821
1070,-8138.249,-802.366
1080,-8184.243,-800.4108
1090,-8304.518,-798.4621
1100,-8278.795,-796.5179
1110,-8273.97,-794.7141
1120,-8313.678,-793.2129
1130,-8315.862,-791.846
1140,-8369.882,-790.5637
1150,-8271.71,-789.2423
1160,-8450.326,-787.5692
1170,-8423.792,-786.1165
1180,-8377.855,-784.7581
1190,-8442.192,-783.4269
1200,-8571.723,-782.0042
1210,-8701.7,-780.1213
1220,-8682.445,-778.3862
1230,-8389.092,-777.211
1240,-8992.176,-776.1259
1250,-8911.561,-775.0893
1260,-8817.992,-773.8832
1270,-8595.32,-772.6961
1280,-8914.236,-771.584
1290,-9201.791,-770.4877
1300,-9481.966,-769.3701
1310,-8974.997,-768.2589
1320,-8783.717,-767.0927
1330,-9006.168,-765.8112
1340,-9117.162,-764.4077
1350,-9202.731,-763.0621
1360,-9243.558,-761.9887
1370,-9051.919,-760.9262
1380,-9153.294,-759.9292
1390,-9200.82,-758.9371
1400,-9251.011,-757.9669
1410,-9240.435,-756.9518
1420,-9338.345,-755.8829
1430,-9388.967,-754.6573
1440,-9419.074,-753.5087
1450,-9422.498,-752.522
1460,-9429.967,-751.6765
1470,-9497.427,-750.7721
1480,-9504.221,-749.9773
1490,-9577.601,-749.2305
1500,-9560.69,-748.5357
1510,-9564.654,-747.874
1520,-9579.393,-747.2581
1530,-9609.66,-746.6156
1540,-9645.698,-745.9296
1550,-9675.284,-745.2387
1560,-9757.935,-744.5453
1570,-9771.446,-743.8866
1580,-9814.773,-743.2473
1590,-9889.449,-742.642
1600,-9854.097,-742.092
1610,-9918.616,-741.5547
1620,-9991.432,-741.0007
1630,-10048.55,-740.4932
1640,-10050.63,-740.0477
1650,-10083.68,-739.6626
1660,-10102.14,-739.2667
1670,-10173.16,-738.8939
1680,-10140.87,-738.519
1690,-10173.81,-738.0991
1700,-10213.99,-737.7179
1710,-10315.58,-737.4375
1720,-10377.73,-737.1989
1730,-10381.54,-736.9894
1740,-10432.74,-736.8031
1750,-10468.93,-736.6439
1760,-10481.19,-736.4969
1770,-10500.13,-736.3608
1780,-10587.48,-736.2385
1790,-10575.58,-736.1186
1800,-10659.24,-735.9989
1810,-10664.26,-735.9069
1820,-10764.39,-735.8483
1830,-10838.37,-735.8146
1840,-10829.01,-735.7954
1850,-10812.79,-735.7878
1860,-10821.51,-735.7896
1870,-10897.62,-735.799
1880,-10920.57,-735.8169
1890,-10967.05,-735.8398
1900,-10901.49,-735.87
1910,-10877.29,-735.9416
1920,-11035.54,-736.0223
1930,-11005.34,-736.1085
1940,-11075.67,-736.1996
1950,-11083.33,-736.3052
1960,-11185.25,-736.4296
1970,-11183.7,-736.5712
1980,-11200.23,-736.7241
1990,-11181.37,-736.8741
2000,-11263.37,-737.0405
