t,Fx_pressure_N,Fx_viscous_N
10,-229.2573,-74.91003
20,-156.7872,-95.28319
30,-131.8752,-114.8786
40,-121.0184,-136.267
50,-106.641,-156.5318
60,-102.1203,-172.4329
70,-97.65207,-182.0942
80,-96.46554,-189.5198
90,-95.60236,-195.5645
100,-97.28817,-199.762
110,-95.8802,-203.5159
120,-94.66664,-206.5319
130,-98.86285,-208.8532
140,-91.25541,-210.6896
150,-93.34773,-212.0514
160,-93.20174,-212.99
170,-93.00678,-213.5407
180,-92.98481,-213.7572
190,-94.4213,-213.7132
200,-93.38699,-213.535
210,-93.56586,-213.1004
220,-93.8636,-212.4967
230,-93.95397,-211.7576
240,-94.02215,-210.9137
250,-94.53779,-209.9896
260,-94.91385,-209.0051
270,-95.33877,-207.9771
280,-95.59879,-206.9178
290,-95.81739,-205.8357
300,-96.05524,-204.7421
310,-96.2413,-203.6377
320,-96.55333,-202.5221
330,-96.86256,-201.3957
340,-97.16772,-200.2632
350,-97.15275,-199.1016
360,-96.63304,-197.8377
370,-96.48986,-196.3353
380,-97.13407,-194.6657
390,-97.72726,-192.9875
400,-98.20649,-191.3254
410,-98.64619,-189.688
420,-99.15183,-188.0823
430,-99.56287,-186.5114
440,-99.78553,-184.9869
450,-100.0675,-183.6449
460,-100.1594,-182.4776
470,-100.2377,-181.3935
480,-100.3915,-180.3664
490,-100.3779,-179.3812
500,-100.3618,-178.4204
510,-100.417,-177.4899
520,-100.3714,-176.5953
530,-100.3296,-175.7315
540,-100.3611,-174.8917
550,-100.37,-174.0674
560,-100.3936,-173.2667
570,-100.4226,-172.4933
580,-100.3968,-171.7482
590,-100.3338,-171.0318
600,-100.3499,-170.3435
610,-100.2351,-169.6864
620,-100.3137,-169.0533
630,-100.4276,-168.4448
640,-100.3477,-167.8564
650,-100.617,-167.2951
660,-100.5073,-166.7882
670,-100.4189,-166.3361
680,-100.2049,-165.8934
690,-100.0398,-165.4618
700,-99.89073,-165.0429
710,-99.64827,-164.6375
720,-99.43878,-164.2453
730,-99.25701,-163.8663
740,-99.25849,-163.5012
750,-99.23139,-163.1498
760,-99.11309,-162.8093
770,-98.96212,-162.473
780,-98.75444,-162.1351
790,-98.63003,-161.7947
800,-98.51397,-161.46
810,-98.45684,-161.1394
820,-98.36423,-160.8337
830,-98.09915,-160.5425
840,-97.95576,-160.266
850,-97.89588,-160.0033
860,-97.87147,-159.7542
870,-97.79688,-159.5188
880,-97.65305,-159.2969
890,-97.58701,-159.0888
900,-97.48855,-158.8942
910,-97.61769,-158.7139
920,-97.51388,-158.5489
930,-97.47177,-158.3987
940,-97.32778,-158.2615
950,-97.16337,-158.1369
960,-96.97215,-158.0248
970,-96.8368,-157.9247
980,-96.72972,-157.8356
990,-96.67459,-157.7569
1000,-96.5188,-157.6874
1010,-96.50619,-157.6274
1020,-96.24498,-157.5733
1030,-96.08885,-157.5305
1040,-95.78661,-157.4927
1050,-95.36161,-157.4602
1060,-95.03958,-157.4324
1070,-94.87479,-157.4086
1080,-94.72998,-157.3874
1090,-94.60015,-157.3701
1100,-94.48138,-157.3574
1110,-94.36852,-157.3487
1120,-94.20987,-157.3424
1130,-94.01855,-157.338
1140,-93.82879,-157.3346
1150,-93.69441,-157.3323
1160,-93.48087,-157.3303
1170,-93.35456,-157.3272
1180,-93.18915,-157.3228
1190,-93.00652,-157.3177
1200,-92.84808,-157.3108
1210,-92.74504,-157.3018
1220,-92.64013,-157.2923
1230,-92.74105,-157.283
1240,-93.06052,-157.2795
1250,-92.51037,-157.2752
1260,-92.32103,-157.2743
1270,-92.1709,-157.2748
1280,-91.98397,-157.2765
1290,-91.84372,-157.279
1300,-91.64832,-157.2824
1310,-91.46816,-157.2865
1320,-91.1314,-157.2911
