t,Fx_pressure_N,Fx_viscous_N
10,-129159.8,-81.7316
20,-122664.2,-85.64949
30,-68307.63,-87.17875
40,-35022.12,-88.80448
50,-28517.87,-90.19512
60,-16497.08,-92.63303
70,-13493.2,-95.43615
80,-11410.52,-98.54201
90,-9910.39,-101.9604
100,-8994.168,-105.3559
110,-8909.405,-108.6131
120,-8994.896,-111.713
130,-8932.842,-114.4672
140,-6323.193,-117.8406
150,-6216.51,-121.5477
160,-5714.171,-125.1244
170,-6854.601,-128.3024
180,-5389.984,-131.7373
190,-5519.42,-134.4619
200,-6717.455,-137.0636
210,-4982.315,-140.5312
220,-4843.951,-143.5232
230,-5122.555,-146.0402
240,-6275.894,-149.4329
250,-6438.762,-152.1323
260,-4749.867,-154.5373
270,-4581.37,-157.5592
280,-4919.374,-159.9387
290,-4509.613,-161.9544
300,-5743.82,-164.628
310,-5616.69,-166.4846
320,-4759.675,-168.4516
330,-5171.235,-170.9654
340,-5483.29,-172.5977
350,-4748.579,-174.45
360,-4551.829,-176.5856
370,-5500.209,-178.0441
380,-4809.201,-179.5276
390,-5377.292,-181.2723
400,-5120.058,-182.5594
410,-5403.454,-183.8164
420,-6010.521,-185.2946
430,-5485.026,-186.5141
440,-6530.324,-187.5317
450,-5930.248,-188.4209
460,-6851.67,-189.5697
470,-6440.865,-190.3073
480,-5441.573,-191.2245
490,-5775.239,-192.0338
500,-6616.606,-192.6452
510,-5353.252,-193.3095
520,-5628.913,-193.9166
530,-6105.851,-194.3799
540,-6280.697,-194.8798
550,-6626.342,-195.4304
560,-7298.533,-195.8139
570,-6253.432,-196.1938
580,-6348.802,-196.5356
590,-6753.143,-196.8743
600,-6370.828,-197.1498
610,-6272.337,-197.4413
620,-7365.287,-197.711
630,-7131.978,-197.9547
640,-10128.83,-198.2415
650,-12668.79,-198.558
660,-15333.52,-198.8846
670,-15465.41,-199.0264
680,-18744.08,-198.9991
690,-16167.37,-198.8911
700,-16720.2,-198.6904
710,-12029.76,-198.3448
