t,Fx_pressure_N,Fx_viscous_N
10,-13879.35,-111.9938
20,-12766.23,-127.1274
30,-10764.38,-135.7965
40,-9607.95,-144.3283
50,-6354.305,-153.6634
60,-3809.14,-164.2469
70,-2771.346,-176.5387
80,-3775.517,-186.653
90,-2930.707,-195.5924
100,-2530.396,-204.4314
110,-2109.663,-213.2662
120,-1775.301,-224.5343
130,-1333.483,-238.583
140,-1997.177,-251.227
150,-1905.412,-261.8037
160,-1607.536,-271.449
170,-1652.987,-279.7653
180,-1791.713,-287.1758
190,-1846.06,-294.3367
200,-1737.675,-300.7616
210,-1741.038,-306.3372
220,-1613.828,-312.1648
230,-1747.227,-317.9887
240,-1630.572,-323.3097
250,-1648.212,-328.3483
260,-1725.4,-332.5934
270,-1615.126,-338.0684
280,-1633.39,-341.9336
290,-1634.123,-345.3871
300,-1634.609,-349.0373
310,-1696.877,-351.2295
320,-1690.453,-353.6721
330,-1676.903,-355.0966
340,-1714.376,-356.3693
350,-1712.292,-358.2716
360,-1694.86,-360.0922
370,-1677.861,-361.4076
380,-1626.375,-362.9858
390,-1719.881,-364.016
400,-1774.671,-365.0822
410,-1518.586,-366.2033
420,-1704.147,-366.7496
430,-1687.132,-367.3996
440,-1681.48,-367.8727
450,-1787.532,-368.1829
460,-1764.259,-368.4962
470,-1797.065,-368.6517
480,-1743.541,-368.6735
490,-1761.348,-368.7106
500,-1779.957,-368.6256
510,-1710.188,-368.4752
520,-1809.345,-368.2617
530,-1714.264,-368.0048
540,-1708.115,-367.7369
550,-1721.36,-367.5268
560,-1798.264,-367.3077
570,-1785.482,-367.0424
580,-1841.373,-366.7
590,-1860.069,-366.2659
600,-1857.324,-365.804
610,-1831.331,-365.3605
620,-1844.503,-364.9508
630,-1894.224,-364.5548
640,-1879.072,-364.0991
650,-1911.121,-363.5486
660,-1931.355,-362.904
670,-1931.444,-362.2536
680,-1946.658,-361.4396
690,-1953.987,-360.672
700,-1962.927,-359.9146
710,-1962.166,-359.1373
720,-1960.549,-358.376
730,-1959.729,-357.6214
740,-1983.45,-356.929
750,-1967.987,-356.2378
760,-1947.063,-355.5444
770,-1930.781,-354.8471
780,-1973.132,-354.1086
790,-1994.253,-353.4134
800,-2019.242,-352.6297
810,-2006.136,-351.7994
820,-2012.127,-351.0486
830,-2028.656,-350.1326
840,-2027.632,-349.2529
850,-2052.508,-348.4351
860,-2036.111,-347.4588
870,-2045.369,-346.5363
880,-2036.54,-345.7
890,-2056.472,-344.721
900,-2077.521,-343.8864
910,-2069.115,-343.007
920,-2109.233,-342.1545
930,-2127.153,-341.126
940,-2111.148,-340.3778
950,-2150.538,-339.6686
960,-2144.722,-338.933
970,-2183.321,-338.03
980,-2146.328,-337.3378
990,-2133.572,-336.6933
1000,-2167.629,-336.0221
1010,-2164.638,-335.4028
1020,-2176.866,-334.8044
1030,-2163.031,-334.1021
1040,-2187.257,-333.429
1050,-2194.37,-332.8176
1060,-2138.546,-332.0122
1070,-2168.186,-331.1955
1080,-2183.316,-330.5219
1090,-2196.768,-329.8756
1100,-2124.951,-329.2614
1110,-2183.601,-328.4685
1120,-2199.13,-327.7173
1130,-2223.398,-327.0907
1140,-2231.605,-326.4851
1150,-2212.76,-325.6449
1160,-2277.421,-324.7894
1170,-2276.346,-324.0869
1180,-2236.406,-323.2594
1190,-2290.806,-322.4191
1200,-2306.796,-321.6062
1210,-2334.34,-320.8848
1220,-2328.68,-320.0714
1230,-2318.019,-319.3162
1240,-2307.848,-318.5538
1250,-2317.826,-317.9535
1260,-2329.261,-317.2037
1270,-2290.668,-316.5207
1280,-2330.499,-315.8248
1290,-2343.44,-315.2609
1300,-2340.28,-314.673
1310,-2339.409,-314.0486
1320,-2341.748,-313.348
1330,-2375.838,-312.7803
1340,-2332.211,-312.1383
1350,-2373.124,-311.5612
1360,-2375.519,-310.943
1370,-2381.517,-310.3807
1380,-2404.794,-309.7702
1390,-2407.245,-309.1743
1400,-2401.848,-308.6166
1410,-2431.136,-308.0722
1420,-2390.666,-307.3318
1430,-2399.407,-306.7569
1440,-2409.24,-306.1321
1450,-2467.809,-305.565
1460,-2470.609,-305.0661
1470,-2470.582,-304.5631
1480,-2459.435,-304.089
1490,-2454.515,-303.6413
1500,-2460.164,-303.1374
1510,-2477.031,-302.6067
1520,-2474.995,-302.1063
1530,-2469.516,-301.5941
1540,-2467.463,-301.0746
1550,-2521.331,-300.5021
1560,-2502.358,-299.9701
1570,-2541.037,-299.4526
1580,-2508.721,-298.875
1590,-2505.067,-298.378
1600,-2517.212,-297.8703
1610,-2538.992,-297.3649
1620,-2533.074,-296.8889
1630,-2546.209,-296.4923
1640,-2560.044,-296.1052
1650,-2550.885,-295.6514
1660,-2539.297,-295.219
1670,-2580.279,-294.856
1680,-2552.14,-294.4955
1690,-2562.345,-294.1587
1700,-2556.546,-293.8048
1710,-2567.221,-293.4425
1720,-2574.292,-293.0903
1730,-2598.396,-292.7535
1740,-2599.289,-292.4242
1750,-2577.7,-292.1276
1760,-2590.918,-291.8168
1770,-2597.401,-291.4852
1780,-2624.534,-291.2061
1790,-2615.458,-290.9266
1800,-2624.389,-290.6561
1810,-2639.05,-290.4183
1820,-2634.11,-290.1571
1830,-2635.117,-289.9083
1840,-2639.849,-289.6526
1850,-2650.791,-289.4205
1860,-2647.498,-289.1933
1870,-2651.131,-288.9599
1880,-2657.451,-288.7696
1890,-2671.462,-288.5873
1900,-2669.285,-288.3891
1910,-2647.548,-288.1885
1920,-2672.406,-287.9865
1930,-2688.096,-287.8266
1940,-2664.554,-287.6493
1950,-2667.636,-287.4858
1960,-2677.945,-287.3286
1970,-2746.207,-287.1743
1980,-2750.839,-287.0496
1990,-2745.455,-286.9291
2000,-2733.906,-286.8029
